Study	MDD	Symptom	Status	N
COFAMS	Case	MDD4a	NA	3
COFAMS	Case	MDD4b	Absent	109
COFAMS	Case	MDD4b	Present	8
COFAMS	Case	MDD4b	NA	4
COFAMS	Case	MDD5a	Absent	64
COFAMS	Case	MDD5a	Present	54
COFAMS	Case	MDD5a	NA	3
COFAMS	Case	MDD5b	Absent	75
COFAMS	Case	MDD5b	Present	43
COFAMS	Case	MDD5b	NA	3
COFAMS	Case	MDD6	Absent	15
COFAMS	Case	MDD6	Present	103
COFAMS	Case	MDD6	NA	3
COFAMS	Case	MDD7	Absent	17
COFAMS	Case	MDD7	Present	101
COFAMS	Case	MDD7	NA	3
COFAMS	Case	MDD8	Absent	17
COFAMS	Case	MDD8	Present	101
COFAMS	Case	MDD8	NA	3
COFAMS	Case	MDD9	Absent	37
COFAMS	Case	MDD9	Present	81
COFAMS	Case	MDD9	NA	3
CoLaus	Control	MDD1	Absent	1120
CoLaus	Control	MDD1	Present	344
CoLaus	Control	MDD2	Absent	1246
CoLaus	Control	MDD2	Present	218
CoLaus	Control	MDD3a	Absent	1392
CoLaus	Control	MDD3a	Present	72
CoLaus	Control	MDD3b	Absent	1448
CoLaus	Control	MDD3b	Present	16
CoLaus	Control	MDD4a	Absent	1327
CoLaus	Control	MDD4a	Present	137
CoLaus	Control	MDD4b	Absent	1436
CoLaus	Control	MDD4b	Present	28
CoLaus	Control	MDD5a	Absent	1383
CoLaus	Control	MDD5a	Present	81
CoLaus	Control	MDD5b	Absent	1406
CoLaus	Control	MDD5b	Present	58
CoLaus	Control	MDD6	Absent	1264
CoLaus	Control	MDD6	Present	200
CoLaus	Control	MDD7	Absent	1347
CoLaus	Control	MDD7	Present	117
CoLaus	Control	MDD8	Absent	1368
CoLaus	Control	MDD8	Present	96
CoLaus	Control	MDD9	Absent	1426
CoLaus	Control	MDD9	Present	38
CoLaus	Case	MDD1	Absent	15
CoLaus	Case	MDD1	Present	493
CoLaus	Case	MDD2	Absent	38
CoLaus	Case	MDD2	Present	470
CoLaus	Case	MDD3a	Absent	261
CoLaus	Case	MDD3a	Present	247
CoLaus	Case	MDD3b	Absent	452
CoLaus	Case	MDD3b	Present	56
CoLaus	Case	MDD4a	Absent	200
CoLaus	Case	MDD4a	Present	308
CoLaus	Case	MDD4b	Absent	386
CoLaus	Case	MDD4b	Present	122
CoLaus	Case	MDD5a	Absent	292
CoLaus	Case	MDD5a	Present	216
CoLaus	Case	MDD5b	Absent	281
CoLaus	Case	MDD5b	Present	227
CoLaus	Case	MDD6	Absent	51
CoLaus	Case	MDD6	Present	457
CoLaus	Case	MDD7	Absent	94
CoLaus	Case	MDD7	Present	414
CoLaus	Case	MDD8	Absent	91
CoLaus	Case	MDD8	Present	417
CoLaus	Case	MDD9	Absent	256
CoLaus	Case	MDD9	Present	252
EDINBURGH	Case	MDD1	NA	372
EDINBURGH	Case	MDD2	NA	372
EDINBURGH	Case	MDD3a	NA	372
EDINBURGH	Case	MDD3b	NA	372
EDINBURGH	Case	MDD4a	NA	372
EDINBURGH	Case	MDD4b	NA	372
EDINBURGH	Case	MDD5a	NA	372
EDINBURGH	Case	MDD5b	NA	372
EDINBURGH	Case	MDD6	NA	372
EDINBURGH	Case	MDD7	NA	372
EDINBURGH	Case	MDD8	NA	372
EDINBURGH	Case	MDD9	NA	372
GENPOD	Case	MDD1	Absent	256
GENPOD	Case	MDD1	Present	225
GENPOD	Case	MDD2	Absent	252
GENPOD	Case	MDD2	Present	229
GENPOD	Case	MDD3a	Absent	238
GENPOD	Case	MDD3a	Present	243
GENPOD	Case	MDD3b	Absent	238
GENPOD	Case	MDD3b	Present	243
GENPOD	Case	MDD4a	Absent	143
GENPOD	Case	MDD4a	Present	338
GENPOD	Case	MDD4b	Absent	143
GENPOD	Case	MDD4b	Present	338
GENPOD	Case	MDD5a	Absent	414
GENPOD	Case	MDD5a	Present	67
GENPOD	Case	MDD5b	Absent	107
GENPOD	Case	MDD5b	Present	374
GENPOD	Case	MDD6	Absent	213
GENPOD	Case	MDD6	Present	268
GENPOD	Case	MDD7	Absent	221
GENPOD	Case	MDD7	Present	260
GENPOD	Case	MDD8	Absent	178
GENPOD	Case	MDD8	Present	303
GENPOD	Case	MDD9	Absent	442
GENPOD	Case	MDD9	Present	39
GENRED	Case	MDD1	Absent	3
GENRED	Case	MDD1	Present	1017
GENRED	Case	MDD2	Absent	107
GENRED	Case	MDD2	Present	910
GENRED	Case	MDD2	NA	3
GENRED	Case	MDD3a	Absent	464
GENRED	Case	MDD3a	Present	556
GENRED	Case	MDD3b	Absent	710
GENRED	Case	MDD3b	Present	310
GENRED	Case	MDD4a	Absent	306
GENRED	Case	MDD4a	Present	714
GENRED	Case	MDD4b	Absent	463
GENRED	Case	MDD4b	Present	557
GENRED	Case	MDD5a	Absent	664
GENRED	Case	MDD5a	Present	346
GENRED	Case	MDD5a	NA	10
GENRED	Case	MDD5b	Absent	675
GENRED	Case	MDD5b	Present	327
GENRED	Case	MDD5b	NA	18
GENRED	Case	MDD6	Absent	59
GENRED	Case	MDD6	Present	953
GENRED	Case	MDD6	NA	8
GENRED	Case	MDD7	Absent	78
GENRED	Case	MDD7	Present	942
GENRED	Case	MDD8	Absent	92
GENRED	Case	MDD8	Present	917
GENRED	Case	MDD8	NA	11
GENRED	Case	MDD9	Absent	261
GENRED	Case	MDD9	Present	755
GENRED	Case	MDD9	NA	4
GENRED2	Case	MDD1	Present	821
GENRED2	Case	MDD1	NA	1
GENRED2	Case	MDD2	Absent	65
GENRED2	Case	MDD2	Present	754
GENRED2	Case	MDD2	NA	3
GENRED2	Case	MDD3a	Absent	361
GENRED2	Case	MDD3a	Present	461
GENRED2	Case	MDD3b	Absent	571
GENRED2	Case	MDD3b	Present	251
GENRED2	Case	MDD4a	Absent	297
GENRED2	Case	MDD4a	Present	525
GENRED2	Case	MDD4b	Absent	349
GENRED2	Case	MDD4b	Present	473
GENRED2	Case	MDD5a	Absent	574
GENRED2	Case	MDD5a	Present	238
GENRED2	Case	MDD5a	NA	10
GENRED2	Case	MDD5b	Absent	549
GENRED2	Case	MDD5b	Present	243
GENRED2	Case	MDD5b	NA	30
GENRED2	Case	MDD6	Absent	26
GENRED2	Case	MDD6	Present	787
GENRED2	Case	MDD6	NA	9
GENRED2	Case	MDD7	Absent	35
GENRED2	Case	MDD7	Present	787
GENRED2	Case	MDD8	Absent	64
GENRED2	Case	MDD8	Present	741
GENRED2	Case	MDD8	NA	17
GENRED2	Case	MDD9	Absent	230
GENRED2	Case	MDD9	Present	589
GENRED2	Case	MDD9	NA	3
GSK	Control	MDD1	NA	864
GSK	Control	MDD2	NA	864
GSK	Control	MDD3a	NA	864
GSK	Control	MDD3b	NA	864
GSK	Control	MDD4a	NA	864
GSK	Control	MDD4b	NA	864
GSK	Control	MDD5a	NA	864
GSK	Control	MDD5b	NA	864
GSK	Control	MDD6	NA	864
GSK	Control	MDD7	NA	864
GSK	Control	MDD8	NA	864
GSK	Control	MDD9	NA	864
GSK	Case	MDD1	Absent	5
GSK	Case	MDD1	Present	926
GSK	Case	MDD2	Present	931
GSK	Case	MDD3a	Absent	312
GSK	Case	MDD3a	Present	599
GSK	Case	MDD3a	NA	20
GSK	Case	MDD3b	Absent	803
GSK	Case	MDD3b	Present	87
GSK	Case	MDD3b	NA	41
GSK	Case	MDD4a	Absent	316
GSK	Case	MDD4a	Present	609
GSK	Case	MDD4a	NA	6
GSK	Case	MDD4b	Absent	795
GSK	Case	MDD4b	Present	94
GSK	Case	MDD4b	NA	42
GSK	Case	MDD5a	NA	931
GSK	Case	MDD5b	Absent	388
GSK	Case	MDD5b	Present	501
GSK	Case	MDD5b	NA	42
GSK	Case	MDD6	Absent	15
GSK	Case	MDD6	Present	911
GSK	Case	MDD6	NA	5
GSK	Case	MDD7	Absent	433
GSK	Case	MDD7	Present	446
GSK	Case	MDD7	NA	52
GSK	Case	MDD8	Absent	132
GSK	Case	MDD8	Present	795
GSK	Case	MDD8	NA	4
GSK	Case	MDD9	Absent	305
GSK	Case	MDD9	Present	625
GSK	Case	MDD9	NA	1
Janssen	Case	MDD1	NA	466
Janssen	Case	MDD2	NA	466
Janssen	Case	MDD3a	NA	466
Janssen	Case	MDD3b	NA	466
Janssen	Case	MDD4a	NA	466
Janssen	Case	MDD4b	NA	466
Janssen	Case	MDD5a	NA	466
Janssen	Case	MDD5b	NA	466
Janssen	Case	MDD6	NA	466
Janssen	Case	MDD7	NA	466
Janssen	Case	MDD8	NA	466
Janssen	Case	MDD9	NA	466
MARS	Control	MDD1	NA	584
MARS	Control	MDD2	NA	584
MARS	Control	MDD3a	NA	584
MARS	Control	MDD3b	NA	584
MARS	Control	MDD4a	NA	584
MARS	Control	MDD4b	NA	584
MARS	Control	MDD5a	NA	584
MARS	Control	MDD5b	NA	584
MARS	Control	MDD6	NA	584
MARS	Control	MDD7	NA	584
MARS	Control	MDD8	NA	584
MARS	Control	MDD9	NA	584
MARS	Case	MDD1	Absent	50
MARS	Case	MDD1	Present	789
MARS	Case	MDD1	NA	81
MARS	Case	MDD2	Absent	8
MARS	Case	MDD2	Present	829
MARS	Case	MDD2	NA	83
MARS	Case	MDD3a	Absent	522
MARS	Case	MDD3a	Present	317
MARS	Case	MDD3a	NA	81
MARS	Case	MDD3b	NA	920
MARS	Case	MDD4a	Absent	239
MARS	Case	MDD4a	Present	598
MARS	Case	MDD4a	NA	83
MARS	Case	MDD4b	NA	920
MARS	Case	MDD5a	Absent	553
MARS	Case	MDD5a	Present	285
MARS	Case	MDD5a	NA	82
MARS	Case	MDD5b	Absent	576
MARS	Case	MDD5b	Present	263
MARS	Case	MDD5b	NA	81
MARS	Case	MDD6	Absent	334
MARS	Case	MDD6	Present	503
MARS	Case	MDD6	NA	83
MARS	Case	MDD7	Absent	415
MARS	Case	MDD7	Present	423
MARS	Case	MDD7	NA	82
MARS	Case	MDD8	NA	920
MARS	Case	MDD9	Absent	504
MARS	Case	MDD9	Present	336
MARS	Case	MDD9	NA	80
NESDANTR	Control	MDD1	Absent	1583
NESDANTR	Control	MDD2	Absent	1583
NESDANTR	Control	MDD3a	Absent	1583
NESDANTR	Control	MDD3b	Absent	1583
NESDANTR	Control	MDD4a	Absent	1583
NESDANTR	Control	MDD4b	Absent	1583
NESDANTR	Control	MDD5a	Absent	1583
NESDANTR	Control	MDD5b	Absent	1583
NESDANTR	Control	MDD6	Absent	1583
NESDANTR	Control	MDD7	Absent	1583
NESDANTR	Control	MDD8	Absent	1583
NESDANTR	Control	MDD9	Absent	1583
NESDANTR	Case	MDD1	Absent	161
NESDANTR	Case	MDD1	Present	1214
NESDANTR	Case	MDD2	Absent	183
NESDANTR	Case	MDD2	Present	1192
NESDANTR	Case	MDD3a	Absent	757
NESDANTR	Case	MDD3a	Present	618
NESDANTR	Case	MDD3b	Absent	945
NESDANTR	Case	MDD3b	Present	430
NESDANTR	Case	MDD4a	Absent	362
NESDANTR	Case	MDD4a	Present	1013
NESDANTR	Case	MDD4b	Absent	824
NESDANTR	Case	MDD4b	Present	551
NESDANTR	Case	MDD5a	Absent	785
NESDANTR	Case	MDD5a	Present	590
NESDANTR	Case	MDD5b	Absent	902
NESDANTR	Case	MDD5b	Present	473
NESDANTR	Case	MDD6	Absent	147
NESDANTR	Case	MDD6	Present	1228
NESDANTR	Case	MDD7	Absent	319
NESDANTR	Case	MDD7	Present	1056
NESDANTR	Case	MDD8	Absent	71
NESDANTR	Case	MDD8	Present	1304
NESDANTR	Case	MDD9	Absent	687
NESDANTR	Case	MDD9	Present	688
QIMR	Control	MDD1	NA	1695
QIMR	Control	MDD2	NA	1695
QIMR	Control	MDD3a	NA	1695
QIMR	Control	MDD3b	NA	1695
QIMR	Control	MDD4a	NA	1695
QIMR	Control	MDD4b	NA	1695
QIMR	Control	MDD5a	NA	1695
QIMR	Control	MDD5b	NA	1695
QIMR	Control	MDD6	NA	1695
QIMR	Control	MDD7	NA	1695
QIMR	Control	MDD8	NA	1695
QIMR	Control	MDD9	NA	1695
QIMR	Case	MDD1	Absent	89
QIMR	Case	MDD1	Present	1815
QIMR	Case	MDD1	NA	24
QIMR	Case	MDD2	Absent	203
QIMR	Case	MDD2	Present	1296
QIMR	Case	MDD2	NA	429
QIMR	Case	MDD3a	Absent	889
QIMR	Case	MDD3a	Present	922
QIMR	Case	MDD3a	NA	117
QIMR	Case	MDD3b	Absent	1404
QIMR	Case	MDD3b	Present	449
QIMR	Case	MDD3b	NA	75
QIMR	Case	MDD4a	Absent	299
QIMR	Case	MDD4a	Present	1603
QIMR	Case	MDD4a	NA	26
QIMR	Case	MDD4b	Absent	1497
QIMR	Case	MDD4b	Present	400
QIMR	Case	MDD4b	NA	31
QIMR	Case	MDD5a	Absent	1082
QIMR	Case	MDD5a	Present	816
QIMR	Case	MDD5a	NA	30
QIMR	Case	MDD5b	Absent	1037
QIMR	Case	MDD5b	Present	856
QIMR	Case	MDD5b	NA	35
QIMR	Case	MDD6	Absent	220
QIMR	Case	MDD6	Present	1679
QIMR	Case	MDD6	NA	29
QIMR	Case	MDD7	Absent	559
QIMR	Case	MDD7	Present	1339
QIMR	Case	MDD7	NA	30
QIMR	Case	MDD8	Absent	122
QIMR	Case	MDD8	Present	1777
QIMR	Case	MDD8	NA	29
QIMR	Case	MDD9	Absent	1012
QIMR	Case	MDD9	Present	881
QIMR	Case	MDD9	NA	35
RADIANT	Control	MDD1	NA	1536
RADIANT	Control	MDD2	NA	1536
RADIANT	Control	MDD3a	NA	1536
RADIANT	Control	MDD3b	NA	1536
RADIANT	Control	MDD4a	NA	1536
RADIANT	Control	MDD4b	NA	1536
RADIANT	Control	MDD5a	NA	1536
RADIANT	Control	MDD5b	NA	1536
RADIANT	Control	MDD6	NA	1536
RADIANT	Control	MDD7	NA	1536
RADIANT	Control	MDD8	NA	1536
RADIANT	Control	MDD9	NA	1536
RADIANT	Case	MDD1	Absent	11
RADIANT	Case	MDD1	Present	2549
RADIANT	Case	MDD1	NA	144
RADIANT	Case	MDD2	Absent	80
RADIANT	Case	MDD2	Present	2482
RADIANT	Case	MDD2	NA	142
RADIANT	Case	MDD3a	Absent	988
RADIANT	Case	MDD3a	Present	1461
RADIANT	Case	MDD3a	NA	255
RADIANT	Case	MDD3b	Absent	1978
RADIANT	Case	MDD3b	Present	480
RADIANT	Case	MDD3b	NA	246
RADIANT	Case	MDD4a	Absent	724
RADIANT	Case	MDD4a	Present	1715
RADIANT	Case	MDD4a	NA	265
RADIANT	Case	MDD4b	Absent	1543
RADIANT	Case	MDD4b	Present	519
RADIANT	Case	MDD4b	NA	642
RADIANT	Case	MDD5a	Absent	283
RADIANT	Case	MDD5a	Present	1591
RADIANT	Case	MDD5a	NA	830
RADIANT	Case	MDD5b	Absent	903
RADIANT	Case	MDD5b	Present	1292
RADIANT	Case	MDD5b	NA	509
RADIANT	Case	MDD6	Absent	121
RADIANT	Case	MDD6	Present	2401
RADIANT	Case	MDD6	NA	182
RADIANT	Case	MDD7	Absent	188
RADIANT	Case	MDD7	Present	2346
RADIANT	Case	MDD7	NA	170
RADIANT	Case	MDD8	Absent	240
RADIANT	Case	MDD8	Present	2278
RADIANT	Case	MDD8	NA	186
RADIANT	Case	MDD9	Absent	822
RADIANT	Case	MDD9	Present	1537
RADIANT	Case	MDD9	NA	345
ROTTERDAM	Control	MDD1	Absent	1233
ROTTERDAM	Control	MDD1	Present	5
ROTTERDAM	Control	MDD2	Absent	1227
ROTTERDAM	Control	MDD2	Present	11
ROTTERDAM	Control	MDD3a	Absent	1231
ROTTERDAM	Control	MDD3a	Present	7
ROTTERDAM	Control	MDD3b	Absent	1233
ROTTERDAM	Control	MDD3b	Present	5
ROTTERDAM	Control	MDD4a	Absent	1192
ROTTERDAM	Control	MDD4a	Present	46
ROTTERDAM	Control	MDD4b	Absent	1235
ROTTERDAM	Control	MDD4b	Present	3
ROTTERDAM	Control	MDD5a	Absent	1232
ROTTERDAM	Control	MDD5a	Present	6
ROTTERDAM	Control	MDD5b	Absent	1230
ROTTERDAM	Control	MDD5b	Present	8
ROTTERDAM	Control	MDD6	Absent	1219
ROTTERDAM	Control	MDD6	Present	19
ROTTERDAM	Control	MDD7	Absent	1237
ROTTERDAM	Control	MDD7	Present	1
ROTTERDAM	Control	MDD8	Absent	1231
ROTTERDAM	Control	MDD8	Present	7
ROTTERDAM	Control	MDD9	Absent	1232
ROTTERDAM	Control	MDD9	Present	6
ROTTERDAM	Case	MDD1	Absent	170
ROTTERDAM	Case	MDD1	Present	53
ROTTERDAM	Case	MDD2	Absent	85
ROTTERDAM	Case	MDD2	Present	138
ROTTERDAM	Case	MDD3a	Absent	155
ROTTERDAM	Case	MDD3a	Present	68
ROTTERDAM	Case	MDD3b	Absent	208
ROTTERDAM	Case	MDD3b	Present	15
ROTTERDAM	Case	MDD4a	Absent	31
ROTTERDAM	Case	MDD4a	Present	192
ROTTERDAM	Case	MDD4b	Absent	178
ROTTERDAM	Case	MDD4b	Present	45
ROTTERDAM	Case	MDD5a	Absent	183
ROTTERDAM	Case	MDD5a	Present	40
ROTTERDAM	Case	MDD5b	Absent	179
ROTTERDAM	Case	MDD5b	Present	44
ROTTERDAM	Case	MDD6	Absent	106
ROTTERDAM	Case	MDD6	Present	117
ROTTERDAM	Case	MDD7	Absent	188
ROTTERDAM	Case	MDD7	Present	35
ROTTERDAM	Case	MDD8	Absent	142
ROTTERDAM	Case	MDD8	Present	81
ROTTERDAM	Case	MDD9	Absent	135
ROTTERDAM	Case	MDD9	Present	88
SHIP0	Control	MDD1	Absent	1132
SHIP0	Control	MDD2	Absent	1132
SHIP0	Control	MDD3a	Absent	1132
SHIP0	Control	MDD3b	Absent	1132
SHIP0	Control	MDD4a	Absent	1132
SHIP0	Control	MDD4b	Absent	1132
SHIP0	Control	MDD5a	Absent	1132
SHIP0	Control	MDD5b	Absent	1132
SHIP0	Control	MDD6	Absent	1132
SHIP0	Control	MDD7	Absent	1132
SHIP0	Control	MDD8	Absent	1132
SHIP0	Control	MDD9	Absent	1132
SHIP0	Case	MDD1	Absent	7
SHIP0	Case	MDD1	Present	366
SHIP0	Case	MDD2	Absent	121
SHIP0	Case	MDD2	Present	252
SHIP0	Case	MDD3a	Absent	146
SHIP0	Case	MDD3a	Present	227
SHIP0	Case	MDD3b	Absent	318
SHIP0	Case	MDD3b	Present	55
SHIP0	Case	MDD4a	Absent	45
SHIP0	Case	MDD4a	Present	328
SHIP0	Case	MDD4b	Absent	319
SHIP0	Case	MDD4b	Present	54
SHIP0	Case	MDD5a	Absent	264
SHIP0	Case	MDD5a	Present	109
SHIP0	Case	MDD5b	Absent	262
SHIP0	Case	MDD5b	Present	111
SHIP0	Case	MDD6	Absent	171
SHIP0	Case	MDD6	Present	202
SHIP0	Case	MDD7	Absent	164
SHIP0	Case	MDD7	Present	209
SHIP0	Case	MDD8	Absent	92
SHIP0	Case	MDD8	Present	281
SHIP0	Case	MDD9	Absent	112
SHIP0	Case	MDD9	Present	261
STARD	Case	MDD1	Absent	67
STARD	Case	MDD1	Present	869
STARD	Case	MDD2	Absent	94
STARD	Case	MDD2	Present	842
STARD	Case	MDD3a	Absent	475
STARD	Case	MDD3a	Present	447
STARD	Case	MDD3a	NA	14
STARD	Case	MDD3b	Absent	298
STARD	Case	MDD3b	Present	354
STARD	Case	MDD3b	NA	284
STARD	Case	MDD4a	Absent	8
STARD	Case	MDD4a	Present	928
STARD	Case	MDD4b	Absent	717
STARD	Case	MDD4b	Present	219
STARD	Case	MDD5a	Absent	106
STARD	Case	MDD5a	Present	830
STARD	Case	MDD5b	Absent	159
STARD	Case	MDD5b	Present	777
STARD	Case	MDD6	Absent	129
STARD	Case	MDD6	Present	807
STARD	Case	MDD7	Absent	239
STARD	Case	MDD7	Present	697
STARD	Case	MDD8	Absent	160
STARD	Case	MDD8	Present	776
STARD	Case	MDD9	Absent	868
STARD	Case	MDD9	Present	65
STARD	Case	MDD9	NA	3
STR	Control	MDD1	Absent	336
STR	Control	MDD1	Present	12
STR	Control	MDD1	NA	3415
STR	Control	MDD2	NA	3763
STR	Control	MDD3a	NA	3763
STR	Control	MDD3b	NA	3763
STR	Control	MDD4a	NA	3763
STR	Control	MDD4b	NA	3763
STR	Control	MDD5a	NA	3763
STR	Control	MDD5b	NA	3763
STR	Control	MDD6	NA	3763
STR	Control	MDD7	NA	3763
STR	Control	MDD8	NA	3763
STR	Control	MDD9	NA	3763
STR	Case	MDD1	Absent	60
STR	Case	MDD1	Present	897
STR	Case	MDD1	NA	186
STR	Case	MDD2	Absent	190
STR	Case	MDD2	Present	699
STR	Case	MDD2	NA	254
STR	Case	MDD3a	Absent	557
STR	Case	MDD3a	Present	425
STR	Case	MDD3a	NA	161
STR	Case	MDD3b	Absent	881
STR	Case	MDD3b	Present	101
STR	Case	MDD3b	NA	161
STR	Case	MDD4a	Absent	222
STR	Case	MDD4a	Present	772
STR	Case	MDD4a	NA	149
STR	Case	MDD4b	NA	1143
STR	Case	MDD5a	NA	1143
STR	Case	MDD5b	NA	1143
STR	Case	MDD6	Absent	108
STR	Case	MDD6	Present	888
STR	Case	MDD6	NA	147
STR	Case	MDD7	Present	630
STR	Case	MDD7	NA	513
STR	Case	MDD8	Absent	58
STR	Case	MDD8	Present	936
STR	Case	MDD8	NA	149
STR	Case	MDD9	Absent	372
STR	Case	MDD9	Present	623
STR	Case	MDD9	NA	148
